iter	Passed	Remaining
0	221	220980
1	222	111020
2	223	74329
3	224	55964
4	225	44951
5	226	37583
6	227	32314
7	228	28367
8	229	25289
9	230	22818
10	231	20799
11	232	19114
12	233	17693
13	234	16486
14	234	15426
15	235	14495
16	236	13672
17	237	12939
18	237	12284
19	238	11694
20	239	11172
21	240	10688
22	241	10242
23	241	9835
24	242	9459
25	243	9113
26	243	8791
27	244	8493
28	245	8214
29	246	7955
30	246	7712
31	247	7490
32	248	7278
33	249	7077
34	249	6888
35	250	6709
36	251	6539
37	252	6379
38	252	6227
39	253	6082
40	254	5944
41	254	5813
42	255	5687
43	256	5567
44	256	5453
45	257	5345
46	258	5239
47	259	5138
48	259	5042
49	260	4951
50	261	4872
51	262	4786
52	263	4705
53	264	4626
54	264	4550
55	265	4476
56	266	4404
57	266	4335
58	267	4269
59	268	4204
60	269	4141
61	269	4081
62	270	4022
63	271	3966
64	271	3911
65	272	3857
66	273	3806
67	273	3752
68	274	3704
69	275	3660
70	276	3615
71	277	3571
72	277	3527
73	278	3485
74	279	3443
75	279	3403
76	280	3363
77	281	3324
78	282	3287
79	282	3252
80	283	3216
81	284	3181
82	284	3147
83	285	3115
84	286	3080
85	286	3049
86	287	3015
87	288	2985
88	288	2957
89	289	2929
90	290	2904
91	291	2878
92	292	2851
93	293	2825
94	293	2799
95	294	2773
96	295	2748
97	295	2723
98	296	2699
99	297	2676
100	298	2653
101	298	2627
102	299	2605
103	299	2584
104	300	2563
105	301	2542
106	302	2521
107	302	2501
108	303	2481
109	304	2461
110	305	2443
111	305	2425
112	306	2407
113	307	2389
114	308	2370
115	308	2352
116	309	2335
117	310	2319
118	310	2301
119	311	2284
120	312	2269
121	313	2253
122	313	2235
123	314	2220
124	314	2204
125	315	2189
126	316	2175
127	317	2160
128	317	2146
129	318	2132
130	319	2118
131	320	2106
132	321	2092
133	321	2079
134	322	2066
135	323	2053
136	323	2040
137	324	2027
138	325	2015
139	326	2003
140	326	1990
141	327	1978
142	328	1967
143	329	1955
144	329	1944
145	330	1932
146	331	1921
147	331	1910
148	332	1899
149	333	1888
150	333	1877
151	334	1868
152	335	1858
153	336	1848
154	337	1838
155	337	1828
156	338	1818
157	339	1808
158	340	1798
159	340	1788
160	341	1779
161	342	1770
162	342	1761
163	343	1752
164	344	1743
165	345	1735
166	346	1726
167	346	1717
168	347	1709
169	348	1701
170	349	1693
171	350	1685
172	350	1677
173	351	1669
174	352	1661
175	353	1653
176	353	1645
177	354	1637
178	355	1630
179	356	1622
180	356	1613
181	357	1605
182	358	1598
183	358	1591
184	359	1584
185	360	1577
186	361	1570
187	362	1564
188	362	1557
189	363	1551
190	364	1544
191	365	1538
192	366	1532
193	367	1526
194	368	1519
195	368	1513
196	369	1507
197	370	1500
198	371	1494
199	372	1488
200	372	1481
201	373	1475
202	374	1469
203	375	1463
204	375	1457
205	376	1451
206	377	1446
207	378	1440
208	379	1435
209	380	1430
210	380	1424
211	381	1419
212	382	1413
213	383	1407
214	384	1402
215	384	1396
216	385	1391
217	386	1385
218	387	1380
219	387	1374
220	388	1369
221	389	1364
222	390	1359
223	390	1353
224	391	1348
225	392	1343
226	393	1339
227	394	1334
228	394	1329
229	395	1324
230	396	1320
231	397	1315
232	398	1310
233	398	1305
234	399	1301
235	400	1296
236	401	1291
237	401	1286
238	402	1282
239	403	1277
240	404	1272
241	404	1268
242	405	1263
243	406	1259
244	407	1254
245	407	1250
246	408	1246
247	409	1241
248	410	1237
249	411	1233
250	411	1229
251	412	1224
252	413	1221
253	414	1217
254	415	1212
255	415	1208
256	416	1204
257	417	1200
258	418	1196
259	418	1192
260	419	1187
261	420	1183
262	421	1179
263	421	1175
264	422	1171
265	423	1168
266	424	1165
267	425	1161
268	425	1157
269	426	1154
270	427	1150
271	428	1146
272	429	1142
273	429	1139
274	430	1135
275	431	1132
276	432	1128
277	433	1124
278	433	1121
279	434	1117
280	435	1114
281	436	1110
282	436	1107
283	437	1104
284	438	1100
285	439	1097
286	440	1093
