iter	Passed	Remaining
0	165	165145
1	171	85425
2	174	57886
3	175	43789
4	177	35296
5	178	29630
6	180	25627
7	183	22745
8	184	20370
9	186	18505
10	189	17007
11	191	15779
12	193	14698
13	195	13763
14	196	12928
15	198	12192
16	199	11542
17	201	10988
18	203	10507
19	205	10059
20	207	9668
21	209	9301
22	214	9132
23	220	8974
24	228	8900
25	231	8678
26	234	8449
27	239	8296
28	244	8189
29	251	8146
30	255	7995
31	267	8086
32	270	7912
33	272	7750
34	276	7625
35	278	7465
36	280	7310
37	283	7180
38	287	7073
39	289	6953
40	291	6817
41	292	6675
42	293	6539
43	294	6409
44	296	6282
45	297	6163
46	298	6050
47	302	5990
48	303	5886
49	304	5792
50	306	5705
51	308	5616
52	309	5524
53	312	5472
54	313	5394
55	315	5317
56	316	5239
57	318	5170
58	319	5096
59	320	5023
60	321	4951
61	322	4882
62	323	4813
63	324	4747
64	325	4683
65	326	4623
66	327	4565
67	329	4509
68	330	4455
69	331	4402
70	332	4349
71	333	4298
72	334	4248
73	335	4198
74	336	4150
75	337	4104
76	338	4057
77	339	4012
78	340	3968
79	341	3926
80	342	3885
81	343	3846
82	344	3802
83	345	3763
84	346	3725
85	347	3692
86	348	3661
87	350	3629
88	351	3594
89	352	3560
90	353	3528
91	354	3496
92	355	3468
93	357	3446
94	359	3420
95	360	3395
96	361	3366
97	362	3339
98	363	3310
99	364	3283
100	365	3256
101	366	3230
102	367	3204
103	369	3179
104	370	3154
105	371	3133
106	372	3112
107	374	3090
108	375	3068
109	376	3046
110	378	3029
111	379	3007
112	380	2984
113	381	2962
114	382	2941
115	383	2920
116	384	2898
117	385	2882
118	386	2863
119	388	2846
120	390	2838
121	392	2824
122	393	2806
123	394	2788
124	395	2771
125	396	2753
126	397	2733
127	398	2716
128	400	2700
129	401	2685
130	402	2669
131	403	2653
132	404	2636
133	405	2621
134	406	2605
135	408	2592
136	523	3298
137	525	3281
138	527	3264
139	528	3243
140	531	3235
141	543	3283
142	544	3263
143	546	3249
144	548	3232
145	549	3212
146	550	3192
147	551	3172
148	558	3192
149	559	3173
150	561	3157
151	563	3141
152	564	3123
153	565	3106
